score_id,candidate_id,included_order,original_screening_rank,title,project_fit,dataset_evidence_value,method_gap_value,decision_leverage,actual_use_likelihood,evidence_specificity,information_uncertainty,estimated_reading_cost,primary_role,primary_theme,dataset_cluster,task_cluster,modality_cluster,score_confidence,evidence_note,reviewer,model,protocol_version,scored_at,supersedes_score_id,notes
PR_05022f9aba94d20c,doi:10.1038/s41598-018-38343-3,55,60,DeepWeeds: A Multiclass Weed Species Image Dataset for Deep Learning,4,4,2,3,1,4,2,1,dataset_introduction,crop_weed_segmentation,BAWSeg;DeepWeeds;MFWD,classification,RGB,high,"DeepWeeds: 17,509 labelled images of 8 weed species; 502 citations; ResNet-50 95.7% accuracy; first large public rangeland weed dataset",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_6d7e8f9a0b1c2d3e,doi:10.1016/j.plaphe.2025.100089,56,61,"Predictive modeling, pattern recognition, and spatiotemporal representations of plant growth in simulated and controlled environments: A comprehensive review",2,1,2,1,1,3,1,4,survey_or_review,other,MFWD,other,RGB,medium,"Review of predictive modeling for plant growth; deterministic, probabilistic, generative approaches; 2D/3D structured data representations; 165 references",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_56d37b81588778d4,doi:10.1109/iccvw69036.2025.00736,57,62,AgMIC: Agricultural Masked Image Consistency for Cross-Domain Segmentation,4,1,4,2,2,1,3,2,segmentation_method,cross_sensor_or_domain_shift,WeedsGalore,semantic_segmentation;domain_adaptation,RGB;UAV,high,AgMIC: Agricultural Masked Image Consistency for Cross-Domain Segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_5527889c1fc12ae8,doi:10.6084/m9.figshare.28270742,58,63,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,2,4,1,1,1,1,2,1,3d_or_phenotyping_method,3d_phenotyping,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes;Broad_Leaf_Legume_3D,semantic_segmentation;instance_segmentation,3D;point_cloud;multispectral,high,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_89079804038e9baf,doi:10.1088/1742-6596/2759/1/012012,59,64,Multi-Scale Contextual Swin Transformer for Crop Image Segmentation,3,1,2,2,2,3,1,2,segmentation_method,other,AgriVision;Barley_Remote_Sensing,semantic_segmentation,RGB;UAV,high,Multi-Scale Contextual Swin Transformer for Crop Image Segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_d4c9e8a1,doi:10.1186/s13007-023-01060-8,60,65,Improved weed segmentation in UAV imagery of sorghum fields with a combined deblurring segmentation model,4,3,4,3,4,4,3,2,robustness_or_reliability_method,crop_weed_segmentation,DeBlurWeedSeg;MFWD;WeedsGalore,semantic_segmentation,RGB,high,Deblurring+segmentation for motion-blurred UAV weed images; new dataset; directly addresses robust segmentation under corrupted inputs,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_9e063a751da5e016,doi:10.3390/rs10091423,61,66,WeedMap: A Large-Scale Semantic Weed Mapping Framework Using Aerial Multispectral Imaging and Deep Neural Network for Precision Farming,4,4,3,3,4,3,3,3,multimodal_or_sensor_method,multispectral_reliability,BAWSeg;WeedMap;WeedsGalore,semantic_segmentation;mapping,multispectral;UAV,high,WeedMap: A Large-Scale Semantic Weed Mapping Framework Using Aerial Multispectral Imaging and Deep Neural Network for Pr,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_d537d571d042ab08,doi:10.3390/s23052713,62,67,WE3DS: An RGB-D Image Dataset for Semantic Segmentation in Agriculture,3,4,1,2,1,4,1,2,3d_or_phenotyping_method,3d_phenotyping,MFWD;WE3DS;WeedsGalore,semantic_segmentation,RGB;depth;RGB-D,high,WE3DS: An RGB-D Image Dataset for Semantic Segmentation in Agriculture,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_o1p2q3r4,doi:10.1016/j.dib.2025.111852,63,68,"TomatoWUR: An annotated dataset of tomato plants to quantitatively evaluate segmentation, skeletonisation, and plant-trait extraction algorithms for 3D plant phenotyping",2,4,2,2,1,4,2,1,dataset_introduction,3d_phenotyping,TomatoPGT ecosystem;TomatoWUR,3d_reconstruction,depth,medium,"TomatoWUR dataset: annotated 3D point clouds for tomato plant phenotyping; enables benchmarking segmentation, skeletonisation, trait extraction",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_4b86149fc0298480,doi:10.3390/rs16244720,64,69,A 3D Surface Reconstruction Pipeline for Plant Phenotyping,2,1,1,1,2,2,1,2,3d_or_phenotyping_method,3d_phenotyping,MuST-C,3d_reconstruction,lidar,medium,"3D plant surface reconstruction pipeline; point cloud denoising, outlier removal, mesh generation; not focused on segmentation",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_c24b9b5dce687e35,doi:10.1016/j.atech.2026.102373,65,70,Lightweight GSP-YOLO for accurate weed seedling detection and edge deployment in laser-based weed control systems,2,1,1,1,1,4,1,2,contextual_background,crop_weed_segmentation,MFWD;NIAM9weeds,object_detection,RGB,medium,Lightweight GSP-YOLO for accurate weed seedling detection and edge deployment in laser-based weed control systems,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_b1a2c3d4,doi:10.35633/inmateh-78-50,66,71,PHENOTYPIC CHARACTER EXTRACTION OF TOMATO PLANT BASED ON 3D POINT CLOUD DATA,2,1,1,1,2,3,2,2,3d_or_phenotyping_method,3d_phenotyping,Annotated 3D Point Cloud Dataset,3d_reconstruction,depth,medium,3D tomato plant phenotyping from multi-view Kinect point clouds; SAC-IA+ICP registration; phenotypic parameter extraction,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_b8f4337bfe1e3cf0,doi:10.48550/arxiv.2407.21150,67,72,PLANesT-3D: A new annotated dataset for segmentation of 3D plant point clouds,3,4,3,2,1,1,2,2,3d_or_phenotyping_method,3d_phenotyping,PLANesT-3D;TomatoPGT ecosystem;TomatoWUR,semantic_segmentation;instance_segmentation,3D;point_cloud,high,PLANesT-3D: A new annotated dataset for segmentation of 3D plant point clouds,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_479dcf8ba4326006,doi:10.1155/2022/2770706,68,73,FCN Network‐Based Weed and Crop Segmentation for IoT‐Aided Agriculture Applications,3,1,1,2,4,3,1,2,segmentation_method,crop_weed_segmentation,AgriVision,semantic_segmentation,RGB,high,FCN Network‐Based Weed and Crop Segmentation for IoT‐Aided Agriculture Applications,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_e72a745f162fdcc1,doi:10.3389/fpls.2021.774068,69,74,Outdoor Plant Segmentation With Deep Learning for High-Throughput Field Phenotyping on a Diverse Wheat Dataset,4,3,3,3,4,3,2,2,segmentation_method,remote_sensing_uav,SoyCotton;Wheat_field_segmentation,semantic_segmentation,RGB,high,DeepLab v3+ for outdoor wheat segmentation; 190 RGB images of 76 genotypes across multiple years; IoU 0.77/0.90 plant/soil; addresses real-world field conditions,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_g2h3i4j5,doi:10.1038/s41598-022-23399-z,70,75,Use of synthetic images for training a deep learning model for weed detection and biomass estimation in cotton,3,2,3,2,4,3,2,2,segmentation_method,crop_weed_segmentation,MFWD,instance_segmentation,RGB,medium,Synthetic images + GAN for training Mask R-CNN weed detection/segmentation in cotton; biomass estimation; alternative to real image collection,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_cc5ecd95d87a7050,doi:10.1016/j.eswa.2023.122980,71,76,Cross-domain transfer learning for weed segmentation and mapping in precision farming using ground and UAV images,4,2,4,3,4,3,3,2,domain_adaptation_method,cross_sensor_or_domain_shift,WeedsGalore,semantic_segmentation,RGB,high,"Cross-domain (ground-to-UAV) transfer learning for weed segmentation; CNN with enhanced augmentation; IoU 0.744 crop, 0.577 weed; directly addresses domain shift",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_dba4542c9adce132,doi:10.3390/drones7100624,72,77,Deep Learning-Based Weed Detection Using UAV Images: A Comparative Study,2,1,1,1,1,4,1,2,contextual_background,remote_sensing_uav,BAWSeg;CoFly-WeedDB,semantic_segmentation,RGB;UAV,medium,Deep Learning-Based Weed Detection Using UAV Images: A Comparative Study,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_499dd4e6afa84ec3,doi:10.3390/su17125255,73,78,Deep Learning in Multimodal Fusion for Sustainable Plant Care: A Comprehensive Review,4,1,3,2,1,2,3,4,survey_or_review,multimodal_fusion,Horti-M3-Tomato,classification;detection;segmentation,multimodal;RGB;multispectral;hyperspectral,high,Deep Learning in Multimodal Fusion for Sustainable Plant Care: A Comprehensive Review,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_ba0d755616ad81ca,doi:10.1016/j.dib.2022.108575,74,79,CoFly-WeedDB: A UAV image dataset for weed detection and species identification,3,4,2,2,1,4,2,1,dataset_introduction,crop_weed_segmentation,CoFly-WeedDB;WeedsGalore,semantic_segmentation,RGB,medium,"CoFly-WeedDB: 201 UAV RGB images of cotton field; 3 weed species (Johnson grass, Field bindweed, Purslane) with polygon annotations",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_4fde623a86b465a5,doi:10.1109/wacv56688.2023.00372,75,80,The CropAndWeed Dataset: a Multi-Modal Learning Approach for Efficient Crop and Weed Manipulation,4,4,3,3,1,4,3,2,dataset_introduction,crop_weed_segmentation,CropAndWeed;WeedsGalore,semantic_segmentation,RGB,high,"CropAndWeed: 74 crop/weed species, 112K instances, 8K high-res images; meta-annotations on environmental conditions; directly supports robust crop-weed segmentation research",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_aed5c792637767ef,doi:10.3390/s23010065,76,81,Transformer-Based Weed Segmentation for Grass Management,3,1,2,2,3,4,2,2,segmentation_method,crop_weed_segmentation,AgriVision,semantic_segmentation,RGB,high,Transformer-Based Weed Segmentation for Grass Management,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_8efc8bd0fc96a45a,doi:10.3389/fpls.2024.1352935,77,82,Semantic segmentation of microbial alterations based on SegFormer,3,4,1,2,4,2,1,2,segmentation_method,other,AgriVision,semantic_segmentation,RGB,high,Semantic segmentation of microbial alterations based on SegFormer,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_8c2d326a40d843cd,doi:10.1016/j.ophoto.2024.100078,78,83,Domain adaptation of deep neural networks for tree part segmentation using synthetic forest trees,3,2,3,2,3,3,2,3,domain_adaptation_method,cross_sensor_or_domain_shift,MFO / Modern Fruit Orchards,semantic_segmentation,lidar,medium,Synthetic-to-real domain adaptation for tree part LiDAR segmentation; PointNet++; synthetic pipeline competitive with real data training; unsupervised adaptation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a410a01bbafca3a9,doi:10.1002/aps3.11373,79,84,Instance segmentation for the fine detection of crop and weed plants by precision agricultural robots,3,1,1,2,4,2,1,2,segmentation_method,orchard_robotics,MFWD;SoyCotton;WeedsGalore,instance_segmentation,RGB,high,Instance segmentation for the fine detection of crop and weed plants by precision agricultural robots,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_bd0b45ee6f85b7a4,doi:10.1016/j.dib.2024.110821,80,85,FruitSeg30_Segmentation dataset &amp; mask annotations: A novel dataset for diverse fruit segmentation and classification,2,4,1,1,1,4,1,1,dataset_introduction,other,AgriVision;FruitSeg30,semantic_segmentation,RGB,medium,"FruitSeg30: 1969 images across 30 fruit classes; U-Net achieves 94.72% training accuracy, 86% IoU; general fruit segmentation dataset",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_c666da2c1543c0b3,doi:10.1109/lra.2023.3262417,81,86,Towards Domain Generalization in Crop and Weed Segmentation for Precision Farming Robots,4,1,4,2,4,3,3,2,segmentation_method,orchard_robotics,WeedsGalore,semantic_segmentation;domain_adaptation,RGB,high,Towards Domain Generalization in Crop and Weed Segmentation for Precision Farming Robots,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_m5n6o7p8,doi:10.1016/j.rineng.2026.110612,82,87,A robust fusion–pruning framework for lightweight CNNs: Application to apple leaf disease diagnosis under real-world image corruptions,4,2,4,3,4,4,4,3,robustness_or_reliability_method,plant_disease_segmentation,AgriVision;PlantVillage,classification,RGB,high,"Fusion-pruning framework for robust apple disease diagnosis under real-world corruptions (noise, blur, illumination); cross-domain validation; directly addresses robustness",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_66d7d59d85dd6655,doi:10.1007/s00371-025-04351-4,83,88,GenYOLO-leaf: a data-centric and open source framework for generalizable leaf instance segmentation across diverse datasets,3,4,3,2,1,3,2,2,segmentation_method,other,GenYOLO-Leaf;SoyCotton,instance_segmentation;semantic_segmentation,RGB,high,GenYOLO-leaf: a data-centric and open source framework for generalizable leaf instance segmentation across diverse datas,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_399e7f5b34b924c8,doi:10.1186/s13007-020-00573-w,84,89,ROSE-X: an annotated data set for evaluation of 3D plant organ segmentation methods,2,4,2,2,1,4,2,2,dataset_introduction,3d_phenotyping,ROSE-X;Annotated 3D Point Cloud Dataset;TomatoPGT ecosystem;TomatoWUR,3d_reconstruction,depth,medium,ROSE-X: 11 annotated 3D rosebush models from X-ray tomography; voxel and point cloud organ labels; 4 baseline methods benchmarked,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_ec5ab9d50208e3a5,doi:10.1016/j.knosys.2024.112655,85,90,Advanced drone-based weed detection using feature-enriched deep learning approach,2,4,1,1,4,4,1,2,contextual_background,remote_sensing_uav,AgriVision,object_detection,RGB;UAV,high,Advanced drone-based weed detection using feature-enriched deep learning approach,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a68a8dfc9854c0de,doi:10.60507/fk2/ox9xtm,86,91,MuST-C Dataset: The Multi-Sensor and Multi-Temporal Data Set of Multiple Crops for In-Field Phenotyping and Monitoring,2,4,1,1,1,2,1,2,3d_or_phenotyping_method,temporal_phenotyping,MuST-C,semantic_segmentation;phenotyping;classification,RGB;multispectral;3D;point_cloud;LiDAR;UAV,high,MuST-C Dataset: The Multi-Sensor and Multi-Temporal Data Set of Multiple Crops for In-Field Phenotyping and Monitoring,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a9565916ecf84741,doi:10.48550/arxiv.2503.05568,87,92,TomatoScanner: phenotyping tomato fruit based on only RGB image,2,4,2,1,1,4,1,2,3d_or_phenotyping_method,3d_phenotyping,Horti-M3-Tomato;Tomato_Phenotype_Dataset,instance_segmentation;phenotyping,RGB,high,TomatoScanner: phenotyping tomato fruit based on only RGB image,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_739e2226a57ae3ac,doi:10.1109/wacv.2014.6835733,88,93,Plant classification system for crop /weed discrimination without segmentation,3,1,1,2,3,3,1,2,segmentation_method,crop_weed_segmentation,WeedsGalore,classification,RGB,high,Plant classification system for crop /weed discrimination without segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_s5t6u7v8,doi:10.1371/journal.pone.0077151,89,94,Weed Mapping in Early-Season Maize Fields Using Object-Based Analysis of Unmanned Aerial Vehicle (UAV) Images,2,1,1,1,2,2,1,2,contextual_background,crop_weed_segmentation,BAWSeg,semantic_segmentation,multispectral,medium,Older OBIA-based weed mapping from UAV multispectral imagery; early foundational work but limited DL relevance,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_7e8f9a0b1c2d3e4f,doi:10.1016/j.dib.2020.105833,90,95,Dataset of annotated food crops and weed images for robotic computer vision control,2,4,1,2,1,4,1,1,dataset_introduction,crop_weed_segmentation,MFWD,object_detection,RGB,high,1118 annotated images of 6 food crops and 8 weed species; 7853 annotations; 109 citations; practical robotic weed control dataset,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_1f34880df14ec0ca,doi:10.1177/0278364917720510,91,96,"Agricultural robot dataset for plant classification, localization and mapping on sugar beet fields",2,4,2,1,1,3,1,2,dataset_introduction,orchard_robotics,WeedsGalore,classification;semantic_segmentation;localization,multispectral;RGB-D;LiDAR;3D,high,"Agricultural robot dataset for plant classification, localization and mapping on sugar beet fields",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_cc5038592ca3bb3e,doi:10.3390/agronomy16050536,92,98,YOLOv11-Seg-SSC: Soybean Seedling Segmentation and Spatial Localization from Low-Altitude UAV Imagery,3,1,3,2,1,4,1,2,segmentation_method,remote_sensing_uav,SoyCotton,instance_segmentation,RGB;UAV,high,YOLOv11-Seg-SSC: Soybean Seedling Segmentation and Spatial Localization from Low-Altitude UAV Imagery,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_9aa0c637d33f0463,doi:10.18420/giljt2025_02,93,99,A survey of datasets for computer vision in agriculture,2,2,1,1,1,1,1,4,survey_or_review,other,MFWD,classification;object_detection;semantic_segmentation,RGB;multimodal,medium,A survey of datasets for computer vision in agriculture,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_58af1e2cbfe5d1e0,doi:10.1109/aisummit66170.2025.11410995,94,100,SegFormerDiffusion: A Transformer–Diffusion Hybrid for High-Resolution Potato-Leaf Lesion Segmentation,3,1,1,2,4,4,1,2,segmentation_method,other,PlantSeg,semantic_segmentation,RGB,high,SegFormerDiffusion: A Transformer–Diffusion Hybrid for High-Resolution Potato-Leaf Lesion Segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_863ff704b80c247d,doi:10.1109/cvpr52733.2024.01628,95,103,Depth-Aware Concealed Crop Detection in Dense Agricultural Scenes,2,4,2,1,2,3,2,2,contextual_background,other,ACOD-12K;AgriVision,semantic_segmentation;object_detection,RGB;depth;RGB-D,high,Depth-Aware Concealed Crop Detection in Dense Agricultural Scenes,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_5c6d7e8f9a0b1c2d,doi:10.1002/rob.21877,96,105,"A high‐resolution, multimodal data set for agricultural robotics: A <i>Ladybird</i>'s‐eye view of Brassica",3,4,2,2,1,4,2,2,dataset_introduction,multimodal_fusion,Ladybird_Brassica;MFWD,classification,RGB;thermal;hyperspectral,high,"Ladybird multimodal ag dataset: stereo color, thermal, hyperspectral; weekly Brassica scans over 10-week cycle; benchmark crop/weed/soil classification",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_d8737ccd6e2fa022,doi:10.3390/plants15121912,97,106,A Stage-Aware Cascaded Detection–Segmentation Framework for Leaf Phenotyping and Leaf Dry Biomass Estimation of Pepper Seedlings,3,1,2,2,4,4,2,2,3d_or_phenotyping_method,3d_phenotyping,TomatoPGT ecosystem,instance_segmentation;semantic_segmentation;object_detection,RGB,high,A Stage-Aware Cascaded Detection–Segmentation Framework for Leaf Phenotyping and Leaf Dry Biomass Estimation of Pepper S,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a754a6cd8261ab08,doi:10.1016/j.atech.2026.101894,98,107,Real-time deep learning segmentation for agricultural applications: Insights for precision weed management,3,1,1,2,1,1,1,1,segmentation_method,crop_weed_segmentation,WeedsGalore,semantic_segmentation,RGB,high,Real-time deep learning segmentation for agricultural applications: Insights for precision weed management,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_98597ebb06a40899,doi:10.1016/j.patrec.2015.10.013,99,108,Finely-grained annotated datasets for image-based plant phenotyping,3,4,2,2,1,4,2,2,dataset_introduction,dataset_quality_and_benchmarking,Leaf_Phenotyping_Benchmarks;MFWD;SoyCotton,semantic_segmentation,RGB,high,"First comprehensive phenotyping benchmark; 8 computer vision tasks; leaf segmentation, detection, tracking, classification; 316 citations; influential dataset paper",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_5e858858c439c373,doi:10.3390/app10207132,100,109,Lightweight Semantic Segmentation Network for Real-Time Weed Mapping Using Unmanned Aerial Vehicles,3,2,2,2,4,3,2,2,segmentation_method,remote_sensing_uav,WeedsGalore,semantic_segmentation,RGB,medium,Lightweight network for real-time weed mapping onboard UAV; competitive accuracy with efficient inference; precision calibration on desktop and embedded,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_577b0d8ead089c52,doi:10.1109/iccvw60793.2023.00065,101,111,Semantic Segmentation of Crops and Weeds with Probabilistic Modeling and Uncertainty Quantification,3,1,2,2,4,1,1,2,segmentation_method,crop_weed_segmentation,WeedsGalore,semantic_segmentation;uncertainty_quantification,RGB,high,Semantic Segmentation of Crops and Weeds with Probabilistic Modeling and Uncertainty Quantification,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_0f418a7737515f77,doi:10.1016/j.compag.2021.106067,102,112,A Survey of Deep Learning Techniques for Weed Detection from Images,2,1,1,1,4,2,2,4,survey_or_review,crop_weed_segmentation,MFWD,object_detection;classification;semanic_segmentation,RGB;multimodal,medium,A Survey of Deep Learning Techniques for Weed Detection from Images,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_q9r0s1t2,doi:10.1145/3664647.3680599,103,113,Benchmarking In-the-Wild Multimodal Disease Recognition and A Versatile Baseline,3,4,4,3,2,4,3,3,benchmark_or_challenge,multimodal_fusion,InTheWild_PlantDisease;PlantSeg,classification,RGB;text,medium,In-the-wild multimodal plant disease benchmark; text descriptions added to address inter-class/intra-class issues; versatile multimodal baseline,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_b7ddf543bf5df054,doi:10.1109/icra.2017.7989347,104,114,UAV-based crop and weed classification for smart farming,3,2,2,2,4,3,1,2,contextual_background,remote_sensing_uav,BAWSeg;MFWD;WeedsGalore,classification,RGB;multispectral,medium,"UAV-based crop/weed classification; vegetation detection, plant-tailored features; evaluated in Germany and Switzerland; 386 citations",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_c33b2520b8f14d41,doi:10.1109/lra.2017.2774979,105,116,weedNet: Dense Semantic Weed Classification Using Multispectral Images and MAV for Smart Farming,4,3,3,3,4,3,2,2,dataset_introduction,multispectral_reliability,WeedsGalore;weedNet_sugarbeet,semantic_segmentation,multispectral,high,SegNet-based weed classification with multispectral MAV imagery; sugar beet+weed dataset released; F1 ~0.8; Jetson TX2 deployment,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a62cb5cf36235fb5,doi:10.1016/j.jksuci.2023.03.023,106,117,Multi-level feature re-weighted fusion for the semantic segmentation of crops and weeds,4,2,2,2,4,4,2,2,segmentation_method,crop_weed_segmentation,MFWD,semantic_segmentation,RGB,high,"Multi-level feature re-weighted fusion for crop/weed segmentation; mIoU 0.8646/0.9164/0.8459 on CWFID, BoniRob, Rice seedling; lightweight backbone",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_8d9bb1b15064a5b2,doi:10.3390/agronomy13071846,107,118,Weed Identification in Maize Fields Based on Improved Swin-Unet,2,1,2,1,4,4,1,2,contextual_background,crop_weed_segmentation,WeedsGalore,semantic_segmentation,RGB,medium,Weed Identification in Maize Fields Based on Improved Swin-Unet,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_f8b07346a7ac735e,doi:10.1016/j.jag.2026.105361,108,119,A Knowledge-Guided refinement framework for Late-Season Rice–Weed segmentation using UAV imagery under canopy closure,3,1,1,2,1,4,1,1,segmentation_method,remote_sensing_uav,WeedsGalore,semantic_segmentation,RGB;UAV,high,A Knowledge-Guided refinement framework for Late-Season Rice–Weed segmentation using UAV imagery under canopy closure,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_209e0963e4d465aa,doi:10.1109/ietc69527.2026.11568606,109,120,Field-Scale Persistent Plant Mapping with Vision and GPS,2,1,1,1,1,3,2,2,contextual_background,other,MuST-C,object_detection,RGB,medium,Field-Scale Persistent Plant Mapping with Vision and GPS,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_2a8bd45eee8dec33,doi:10.3390/make8020044,110,121,Improving Ground Cover Crop Fractional Vegetation Mapping via Causality-Based Deep Representation Learning,2,1,1,1,4,4,1,2,contextual_background,other,WeedsGalore,semantic_segmentation,RGB,medium,Improving Ground Cover Crop Fractional Vegetation Mapping via Causality-Based Deep Representation Learning,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_f1fbe7eb5919a3d1,doi:10.1016/j.compag.2022.106719,111,122,Deep learning-based segmentation of multiple species of weeds and corn crop using synthetic and real image datasets,3,4,1,2,1,2,1,3,segmentation_method,crop_weed_segmentation,WeedCorn_synthetic;WeedsGalore,semantic_segmentation,RGB,high,Deep learning-based segmentation of multiple species of weeds and corn crop using synthetic and real image datasets,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_97753f292355e563,doi:10.3390/s21113647,112,123,Review of Weed Detection Methods Based on Computer Vision,2,1,1,1,1,2,2,4,survey_or_review,crop_weed_segmentation,SoyCotton,object_detection;classification;semantic_segmentation,RGB;multimodal,medium,Review of Weed Detection Methods Based on Computer Vision,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
